Ref,Val,Package,PosX,PosY,Rot,Side
"C10","1uF","C_0805_2012Metric",204.419200,-86.563200,90.000000,bottom
"C14","1uF","C_0805_2012Metric",194.894200,-84.790000,90.000000,bottom
"C88","1uF","C_0603_1608Metric",216.662000,-58.369200,180.000000,bottom
"C89","1uF","C_0603_1608Metric",213.207600,-62.382400,180.000000,bottom
"C90","1uF","C_0603_1608Metric",213.461600,-64.465200,180.000000,bottom
"C91","1uF","C_0603_1608Metric",217.525600,-69.596000,180.000000,bottom
"C92","100nF","C_0805_2012Metric",219.659200,-56.184800,180.000000,bottom
"C93","10uF","C_1206_3216Metric",235.966000,-85.483700,90.000000,bottom
"C94","2.2uF","C_1210_3225Metric",233.172000,-85.483700,90.000000,bottom
"C95","100nF","C_0805_2012Metric",219.303600,-81.216500,90.000000,bottom
"C96","2.2uF","C_1210_3225Metric",221.894400,-84.213700,90.000000,bottom
"C97","100nF","C_0805_2012Metric",226.822000,-80.657700,0.000000,bottom
"FB1","1k","L_0805_2012Metric",219.303600,-84.670900,90.000000,bottom
"FB2","600R (100MHz)","L_0603_1608Metric",230.568500,-58.102500,180.000000,bottom
"FB3","600R (100MHz)","L_0603_1608Metric",230.568500,-67.754500,0.000000,bottom
"Q1","2N7002","SOT-23",96.977200,-72.796400,180.000000,bottom
"R66","10k","R_0805_2012Metric",219.252800,-71.678800,0.000000,bottom
"R67","10k","R_0805_2012Metric",219.252800,-73.660000,0.000000,bottom
"R68","10k","R_0805_2012Metric",219.252800,-75.641200,0.000000,bottom
"R69","10k","R_0805_2012Metric",219.252800,-77.622400,0.000000,bottom
"R70","56k","R_0603_1608Metric",218.948000,-59.588400,90.000000,bottom
"R71","200k","R_0603_1608Metric",220.472000,-59.588400,270.000000,bottom
"R72","56k","R_0603_1608Metric",221.996000,-59.562900,90.000000,bottom
"R73","10k","R_0805_2012Metric",223.367600,-62.788800,90.000000,bottom
"R74","10k","R_0805_2012Metric",216.458800,-60.147200,180.000000,bottom
"R75","10k","R_0805_2012Metric",216.712800,-62.331600,180.000000,bottom
"R76","10k","R_0805_2012Metric",216.712800,-64.363600,180.000000,bottom
"R77","56k","R_0603_1608Metric",223.570800,-59.537600,270.000000,bottom
"R78","2R","R_0805_2012Metric",223.339900,-80.657700,0.000000,bottom
"U2","ADP7104ARDZ-5.0","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm",199.679600,-85.806000,0.000000,bottom
"U16","ADM1185ARMZ","ADM1185ARMZ-1",220.624400,-66.395600,270.000000,bottom
"U17","74LVC1G17","SOT-353_SC-70-5",222.859600,-55.560000,270.000000,bottom
"U18","ADP7118ARDZ-5.0","ADP7118",227.330000,-84.975700,0.000000,bottom
