Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,,,,,,,,,,
2,732-9317-1-ND,Würth Elektronik,860240572002,https://octopart.com/860240572002-w%C3%BCrth+elektronik-53758684,C2 C4,,22µF ±20%  35V  Aluminum Electrolytic Radial  Can  1.3Ohm@100kHz  5000 Hrs @ 105°C,2,732-9317-1-ND,,710-860240572002,8396346,Cut Tape,,Ammo Pack,,0.127032,,0.1355008,,708,,2027,950,1,,1,25,https://octopart.com/click/track?ai=8237&sig=013978f&sid=459&ppid=53758684&vpid=240502072&ct=offers,,https://octopart.com/click/track?ai=8237&sig=004922f&sid=2401&ppid=53758684&vpid=416614668&ct=offers,https://octopart.com/click/track?ai=8237&sig=082b54b&sid=10022&ppid=53758684&vpid=566095365&ct=offers,Digi-Key,732-9317-1-ND,Cut Tape,0.127032,0.254064,0.254064,708,1,https://octopart.com/click/track?ai=8237&sig=013978f&sid=459&ppid=53758684&vpid=240502072&ct=offers,
4,1276-1245-1-ND,Samsung,CL21B103JBANNNC,https://octopart.com/cl21b103jbannnc-samsung-9302014,C25 C42 C59 C76,,10nF  ±5%  50V  MLCC X7R  0805 (2012 Metric),4,1276-1245-1-ND,3716925,,7666095,Cut Tape,Cut Tape,,,0.084688,0.08299424,,,63709,1600,,16000,1,1,,4000,https://octopart.com/click/track?ai=8237&sig=0cbb7ea&sid=459&ppid=9302014&vpid=72525998&ct=offers,https://octopart.com/click/track?ai=8237&sig=0b3e4e1&sid=2454&ppid=9302014&vpid=495872668&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0fff51f&sid=10022&ppid=9302014&vpid=565871884&ct=offers,Arrow Electronics,CL21B103JBANNNC,Cut Tape,0.040480864,0.161923456,0.161923456,33,1,https://octopart.com/click/track?ai=8237&sig=0357a4e&sid=1106&ppid=9302014&vpid=473428271&ct=offers,
8,1276-1020-1-ND,Samsung,CL21B102KBANNNC,https://octopart.com/cl21b102kbannnc-samsung-9299369,C23 C29 C40 C46 C57 C63 C74 C80,,1nF  ±10%  50V  MLCC X7R  0805 (2012 Metric),8,1276-1020-1-ND,8160988,,,Cut Tape,Cut Tape,,,0.084688,0.42344,,,993202,770,,,1,1,,,https://octopart.com/click/track?ai=8237&sig=0799db1&sid=459&ppid=9299369&vpid=72525966&ct=offers,https://octopart.com/click/track?ai=8237&sig=01fd6ee&sid=2454&ppid=9299369&vpid=495872664&ct=offers,,,Newark,82AC9409,Cut Tape,0.00592816,0.04742528,0.04742528,48432,1,https://octopart.com/click/track?ai=8237&sig=00bb4d6&sid=2402&ppid=9299369&vpid=511545733&ct=offers,
33,732-8080-1-ND,Würth Elektronik,885012207098,https://octopart.com/885012207098-w%C3%BCrth+elektronik-65419869,C20 C30 C26 C33 C24 C22 C31 C37 C47 C43 C50 C41 C39 C48 C54 C64 C60 C67 C58 C56 C65 C71 C81 C77 C84 C75 C73 C82 C92 C95 C97 C87 C86,,0.1µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric),33,732-8080-1-ND,,710-885012207098,1813444,Cut Tape,,Tape & Reel,,0.06266912,,0.064,,16722,,46075,4000,1,,1,4000,https://octopart.com/click/track?ai=8237&sig=06c928d&sid=459&ppid=65419869&vpid=229679674&ct=offers,,https://octopart.com/click/track?ai=8237&sig=081ebb2&sid=2401&ppid=65419869&vpid=248138185&ct=offers,https://octopart.com/click/track?ai=8237&sig=0183dea&sid=10022&ppid=65419869&vpid=566097781&ct=offers,Digi-Key,732-8080-1-ND,Cut Tape,0.06266912,2.06808096,2.06808096,16722,1,https://octopart.com/click/track?ai=8237&sig=06c928d&sid=459&ppid=65419869&vpid=229679674&ct=offers,
12,399-6695-1-ND,KEMET,EEV106M035A9BAA,https://octopart.com/eev106m035a9baa-kemet-22264518,C19 C21 C32 C36 C38 C49 C53 C55 C66 C70 C72 C83,,10µF  ±20%  35V  Aluminum Electrolytic Radial  Can  1.93Ohm@100kHz  2000 Hrs @ 105°C,12,399-6695-1-ND,,80-EEV106M035A9BAA,,Cut Tape,,Tape & Reel,,0.22357632,,0.1566728,,10861,,7486,,1,,1,,https://octopart.com/click/track?ai=8237&sig=0889e70&sid=459&ppid=22264518&vpid=47549234&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0cb9fa2&sid=2401&ppid=22264518&vpid=54997415&ct=offers,,Mouser,80-EEV106M035A9BAA,Tape & Reel,0.1566728,1.8800736,1.8800736,7486,1,https://octopart.com/click/track?ai=8237&sig=0cb9fa2&sid=2401&ppid=22264518&vpid=54997415&ct=offers,
4,445-7523-1-ND,TDK,C2012C0G1H333J125AA,https://octopart.com/c2012c0g1h333j125aa-tdk-26013652,C28 C45 C62 C79,,33nF  ±5%  50V  MLCC C0G NP0  0805 (2012 Metric),4,445-7523-1-ND,8044032,810-C2012C0G1H333J,,Cut Tape,Tape & Reel,Tape & Reel,,0.3302832,,0.3472208,,230419,0,38464,,1,2000,1,,https://octopart.com/click/track?ai=8237&sig=039ef62&sid=459&ppid=26013652&vpid=63973536&ct=offers,https://octopart.com/click/track?c=1&ai=8237&sig=0d5860e&sid=2454&ppid=26013652&vpid=416917585&ct=offers,https://octopart.com/click/track?ai=8237&sig=05230e8&sid=2401&ppid=26013652&vpid=94942596&ct=offers,,Quest,C2012C0G1H333J125AA,,0.1524384,0.6097536,0.6097536,1966,1,https://octopart.com/click/track?ai=8237&sig=057e16b&sid=2412&ppid=26013652&vpid=237431158&ct=offers,
4,399-14515-1-ND,KEMET,C0603C362J5GACTU,https://octopart.com/c0603c362j5gactu-kemet-19050043,C27 C44 C61 C78,,3.6nF  ±5%  50V  MLCC C0G NP0  0603 (1608 Metric),4,399-14515-1-ND,,80-C0603C362J5G,,Cut Tape,,Tape & Reel,,0.3980336,,0.3726272,,10852,,7120,,1,,1,,https://octopart.com/click/track?ai=8237&sig=0abf8e7&sid=459&ppid=19050043&vpid=421261335&ct=offers,,https://octopart.com/click/track?ai=8237&sig=08b089e&sid=2401&ppid=19050043&vpid=37704418&ct=offers,,Arrow Electronics,C0603C362J5GACTU,,0.05462376,0.21849504,0.21849504,500,1,https://octopart.com/click/track?ai=8237&sig=0859a56&sid=1106&ppid=19050043&vpid=582317781&ct=offers,
4,399-8092-1-ND,KEMET,C0805C473J3GACTU,https://octopart.com/c0805c473j3gactu-kemet-9563153,C18 C35 C52 C69,,47nF  ±5%  25V  MLCC  C0G NP0  0805 (2012 Metric),4,399-8092-1-ND,,80-C0805C473J3G,8029879,Cut Tape,,Tape & Reel,,0.6690352,,0.508128,,72083,,46918,780,1,,1,10,https://octopart.com/click/track?ai=8237&sig=00b95f3&sid=459&ppid=9563153&vpid=51927254&ct=offers,,https://octopart.com/click/track?ai=8237&sig=04d818a&sid=2401&ppid=9563153&vpid=37684396&ct=offers,https://octopart.com/click/track?ai=8237&sig=0b42639&sid=10022&ppid=9563153&vpid=565531044&ct=offers,Newark,94M5640,Cut Tape,0.10416624,0.41666496,0.41666496,2528,1,https://octopart.com/click/track?ai=8237&sig=0df38e8&sid=2402&ppid=9563153&vpid=16453156&ct=offers,
4,399-17408-1-ND,KEMET,C0603C472J3GACTU,https://octopart.com/c0603c472j3gactu-kemet-11705710,C17 C34 C51 C68,,4.7nF  ±5%  25V  MLCC C0G NP0  0603 (1608 Metric),4,399-17408-1-ND,,80-C0603C472J3G,,Cut Tape,,Tape & Reel,,0.338752,,0.338752,,23001,,61708,,1,,1,,https://octopart.com/click/track?ai=8237&sig=0700862&sid=459&ppid=11705710&vpid=474626930&ct=offers,,https://octopart.com/click/track?ai=8237&sig=08d803d&sid=2401&ppid=11705710&vpid=39395563&ct=offers,,Quest,C0603C472J3GACTU,,0.1524384,0.6097536,0.6097536,63298,1,https://octopart.com/click/track?ai=8237&sig=03f7f14&sid=2412&ppid=11705710&vpid=199212594&ct=offers,
