Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1uF","C_0603_1608Metric",54.152800,21.183600,180.000000,top
"C3","100nF","C_0603_1608Metric",54.152800,22.758400,180.000000,top
"C4","1uF","C_0603_1608Metric",72.720200,41.084500,0.000000,top
"C5","100nF","C_0603_1608Metric",72.720200,42.608500,0.000000,top
"C8","1uF","C_0603_1608Metric",85.140800,5.435600,180.000000,top
"C9","100nF","C_0603_1608Metric",85.140800,6.959600,180.000000,top
"C12","10uF","C_1206_3216Metric",1.955800,16.068500,90.000000,top
"C13","2.2uF","C_1210_3225Metric",4.749800,16.065500,90.000000,top
"C14","100nF","C_0805_2012Metric",18.973800,16.764000,180.000000,top
"C15","2.2uF","C_1210_3225Metric",15.595600,16.119300,90.000000,top
"C16","100nF","C_0805_2012Metric",16.141700,11.760200,270.000000,top
"FB1","1k","L_0805_2012Metric",18.923000,14.693900,0.000000,top
"R1","2R","R_0805_2012Metric",18.935700,12.725400,180.000000,top
"U1","SN74LVTH541DWR","TSSOP-20_4.4x6.5mm_P0.65mm",56.642000,27.127200,180.000000,top
"U2","74LVC2G17","SOT-363_SC-70-6",73.660000,44.945300,270.000000,top
"U4","74HC590A","SOIC-16_3.9x9.9mm_P1.27mm",87.376000,12.954000,180.000000,top
"U6","ADP7104ARDZ-3.3","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm",10.160000,16.103600,180.000000,top
